Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,Class
01/05/2017,972844,1077,7726,52,77,14,25,64,69,84,66,61,82,74,55,64,53,64,47,62,17,24,0,0.13333333,0.008514461,0.005341886,0.006604058,0.009260127,0.009205048,0.001646632,0.930589307,0.015745888,0.008036582,0.005056012,Train
01/06/2017,949362,1054,8835,70,79,18,19,63,68,79,66,56,80,82,52,61,58,67,46,57,15,27,0.33333333,0.22222222,0.005834407,0.005934651,0.006001402,0.011983446,0.927560701,0.001354809,0.010686316,0.018469005,0.005664347,0.006510914,Train
01/07/2017,1036880,1121,7441,69,85,19,21,72,78,82,79,68,83,87,60,63,76,71,51,63,14,29,0.33333333,0,0.008884087,0.006778451,0.007243582,0.014327108,0.911635684,0.001640243,0.01395461,0.022292015,0.007130252,0.007867429,Train
01/08/2017,1229163,1367,9446,66,83,21,19,71,71,82,83,60,82,83,58,69,69,68,54,68,17,26,0,0.28571429,0.012179983,0.007383066,0.00571812,0.008051689,0.006072612,0.003159322,0.011956572,0.011958971,0.007129792,0.007657454,Train
01/09/2017,975952,1349,9471,70,82,16,23,69,73,84,79,63,78,75,74,72,62,68,54,68,11,20,0,0,0.012179983,0.00912839,0.007594759,0.014641461,0.906773324,0.001711696,0.015464724,0.022522487,0.007231962,0.007593072,Train
01/10/2017,1024899,1442,10052,68,85,18,20,73,74,88,84,65,77,78,72,75,68,73,78,70,17,23,0,0.11111111,0.007981387,0.170405722,0.011474087,0.703680107,0.015583183,0.002717024,0.016358894,0.038060769,0.016454031,0.0104545,Train
01/11/2017,1172568,1492,11106,81,89,20,20,72,70,87,87,64,85,84,88,76,73,84,74,79,14,25,0.11111111,0.22222222,0.007981387,0.492550246,0.014970473,0.023895591,0.011777803,0.006310832,0.017296301,0.02360924,0.374705089,0.019586282,Train
01/12/2017,1276353,1469,9840,82,89,30,34,67,62,86,83,62,70,82,87,75,80,97,58,73,19,21,0.2,0,0.007981387,0.02144863,0.090930037,0.015419171,0.019325495,0.006168289,0.150906948,0.073752274,0.586381505,0.019548854,Train
01/01/2018,1430242,1098,7872,100,100,20,24,78,88,100,99,80,94,90,83,89,86,100,77,84,20,28,0.09090909,0.09090909,0.006297999,0.005028288,0.008250816,0.008000904,0.010879817,0.001030511,0.012307226,0.938607929,0.007159079,0.002437431,Train
01/02/2018,1431845,941,6947,74,87,20,19,63,81,91,80,65,76,77,65,74,66,82,61,74,13,22,0,0,0.012179983,0.006967338,0.935517709,0.005990695,0.006694848,0.001082667,0.009213253,0.014385936,0.007225222,0.006920602,Train
01/03/2018,1343314,936,6877,81,93,26,24,72,82,80,88,65,86,100,64,76,77,88,62,77,22,29,0,0,0.014135199,0.011381459,0.226956357,0.023045057,0.206936544,0.003235669,0.395485908,0.093885831,0.013132753,0.011390686,Train
01/04/2018,1341913,919,6154,80,82,21,27,64,78,83,78,59,73,87,60,63,69,75,62,73,22,28,0,0.2,0.012179983,0.006951088,0.007641142,0.01446613,0.904573657,0.001776896,0.013006945,0.02040897,0.008083914,0.015541754,Train
01/05/2018,1161114,1004,7197,72,79,16,24,63,78,72,77,54,77,75,54,63,69,64,63,71,16,25,0.1875,0,0.012179983,0.007012713,0.010107545,0.011178994,0.015107977,0.001407626,0.015954034,0.917301218,0.009879393,0.003465105,Train
01/06/2018,1183102,982,8229,69,81,16,17,61,76,70,72,59,70,70,53,57,61,65,53,73,13,27,0,0,0.007981387,0.035332634,0.022527364,0.027947603,0.028069134,0.364967162,0.048521652,0.046709579,0.046661752,0.030757179,Train
01/07/2018,1188817,1044,6931,69,86,17,14,68,78,76,82,64,70,79,66,67,67,65,68,67,20,38,0.22222222,0.11111111,0.014135199,0.010608064,0.004322554,0.936775985,0.009194112,0.00092615,0.009927782,0.011410089,0.004481376,0.006354143,Train
01/08/2018,1323546,1273,8856,82,90,15,19,73,74,79,81,67,73,84,64,68,65,70,62,69,15,27,0,0.18181818,0.014135199,0.010361898,0.007362124,0.010372141,0.008423815,0.003710869,0.014982141,0.015488478,0.009079509,0.009632974,Train
01/09/2018,1212597,1257,8884,68,80,23,20,61,78,79,79,62,79,69,67,66,70,64,62,74,17,22,0.125,0.125,0.014135199,0.012354578,0.007115318,0.007924722,0.006390585,0.00343911,0.011407537,0.013869961,0.914977631,0.013865519,Train
01/10/2018,1205157,1344,9419,69,80,18,14,59,72,77,71,55,77,66,60,67,66,67,61,71,12,21,0,0.07692308,0.007981387,0.024928978,0.018204512,0.293370148,0.28105738,0.003517684,0.034391468,0.296354531,0.015999068,0.014300417,Train
01/11/2018,1301909,1390,10420,69,78,23,18,62,68,84,79,62,68,73,70,68,70,77,60,71,16,26,0,0.21428571,0.014135199,0.010317415,0.014722489,0.019140777,0.799775572,0.002890141,0.020373112,0.023580174,0.015357443,0.082085773,Train
01/12/2018,1374235,1258,8518,60,93,25,29,65,58,79,77,60,78,75,71,66,72,84,63,69,18,19,0,0.18181818,0.012179983,0.007675434,0.009719296,0.013408719,0.012503885,0.0022512,0.891638555,0.032839599,0.01124574,0.006745733,Train
01/01/2019,1501766,1009,7336,71,87,17,20,74,80,87,91,80,90,79,82,76,74,93,77,78,19,26,0.125,0,0.012179983,0.007902012,0.926502955,0.006906583,0.007356317,0.001237042,0.010683929,0.015876973,0.008507775,0.008252579,Train
01/02/2019,1588161,865,6420,73,84,19,14,68,80,73,79,71,81,82,69,64,66,82,75,85,13,26,0.2,0,0.012179983,0.00913583,0.010982222,0.01550839,0.015663199,0.002633408,0.883302687,0.026965748,0.013089331,0.008521782,Train
01/03/2019,1410187,860,6363,79,90,27,22,67,77,76,81,66,89,87,64,66,72,79,76,83,17,24,0,0.1,0.007981387,0.916704013,0.008691021,0.016507452,0.00665593,0.002305237,0.008658174,0.011962062,0.012996982,0.006714957,Train
01/04/2019,1468766,845,5705,72,87,18,17,64,74,76,76,64,99,85,60,62,69,70,64,72,20,26,0.22222222,0.11111111,0.014135199,0.010613018,0.02097472,0.025602826,0.576277391,0.002611931,0.030435927,0.30025831,0.012327433,0.008806486,Train
01/05/2019,1326668,923,6685,72,83,21,16,61,77,72,76,62,69,69,61,59,62,63,59,74,13,18,0.14285714,0,0.00752527,0.004668156,0.005929864,0.008497831,0.007847505,0.001448118,0.937465323,0.01550616,0.006822343,0.004289432,Train
01/06/2019,1185445,903,7605,87,81,14,19,65,82,72,78,65,80,71,57,64,62,62,75,69,18,32,0.09090909,0.09090909,0.006269785,0.004998241,0.00744467,0.007909282,0.011014566,0.001010187,0.011561038,0.940668073,0.006786929,0.00233723,Train
01/07/2019,1315792,960,6430,75,88,18,16,67,86,75,81,67,86,82,62,70,74,67,70,68,18,25,0,0.1,0.006821813,0.004066998,0.005149912,0.007258052,0.006581377,0.001285016,0.945380866,0.013642305,0.006084769,0.003728892,Train
01/08/2019,1512447,1170,8140,71,88,20,22,70,86,79,90,75,92,79,69,73,77,64,72,73,17,21,0.28571429,0,0.006467173,0.004573411,0.005366916,0.007201634,0.005549157,0.001259577,0.005555554,0.004138051,0.010703912,0.949184615,Train
01/09/2019,1561274,1155,8165,76,81,18,23,68,82,81,86,76,68,72,62,76,88,59,76,77,21,18,0.1,0,0.006025279,0.006358876,0.009403199,0.010060525,0.013108485,0.00127194,0.014185357,0.925822417,0.008575705,0.003111315,Train
01/10/2019,1618337,1235,8658,83,92,23,19,69,87,82,93,76,90,77,67,78,95,67,78,77,18,21,0.28571429,0,0.006816521,0.005418332,0.008443267,0.008507449,0.011720141,0.001101072,0.013416057,0.934648304,0.007353143,0.002575714,Train
01/11/2019,1809580,1278,9578,77,83,26,18,74,83,84,90,76,67,78,71,80,93,79,78,77,21,20,0.28571429,0,0.003246041,0.002667116,0.003032156,0.006034099,0.963258566,0.000727801,0.005543993,0.009191136,0.002939255,0.003359838,Train
01/12/2019,1710168,1258,8518,68,85,28,24,76,76,83,93,79,91,80,75,81,82,87,71,84,17,18,0.28571429,0,0.012179983,0.008390508,0.922970821,0.007537958,0.007716444,0.00129799,0.011159409,0.016488334,0.008670433,0.008362866,Train
01/01/2020,1994125,928,6513,79,87,24,23,81,100,98,99,100,97,82,69,91,85,88,94,100,20,18,0.16666667,0,0.006025279,0.006358876,0.009403199,0.010060525,0.013108485,0.00127194,0.014185357,0.925822417,0.008575705,0.003111315,Train
01/02/2020,1242731,638,4565,47,76,14,13,51,80,66,74,74,63,70,51,51,78,65,56,71,14,19,0.07142857,0.14285714,0.014135199,0.011171524,0.010814228,0.013162076,0.012677204,0.004472429,0.025886842,0.084794094,0.01210342,0.009728404,Train
01/03/2020,449923,383,3337,33,44,6,9,30,44,52,51,61,38,40,28,28,49,40,28,34,8,19,0,0.33333333,0.007981387,0.0164593,0.014395144,0.013074889,0.019198932,0.005288708,0.028426616,0.11850954,0.753724377,0.017076903,Train
01/04/2020,0,74,542,20,34,4,2,22,14,16,22,27,7,20,19,11,30,18,14,26,3,6,0,0,0.007981387,0.819168284,0.017300285,0.033299904,0.015750968,0.004618691,0.020954417,0.02850577,0.026252783,0.014409459,Train
01/05/2020,0,92,710,22,43,4,2,21,16,19,23,33,10,26,21,13,32,27,16,25,3,5,0.3,0,0.014135199,0.010541186,0.008250382,0.011232531,0.008769951,0.004287781,0.01610198,0.017905321,0.010602537,0.010731328,Validation
01/06/2020,0,64,504,37,59,2,1,23,28,20,24,38,13,28,23,15,33,38,17,24,6,6,0,0,0.012179983,0.008240971,0.011702431,0.012988349,0.016615229,0.001627028,0.018603189,0.904903105,0.011073886,0.00411227,Validation
01/07/2020,0,48,347,30,68,3,0,24,32,18,24,28,18,26,20,13,30,38,11,22,4,5,0,0.1,0.012179983,0.00912856,0.007210959,0.010196433,0.007903379,0.003646788,0.015066741,0.015236549,0.00922443,0.009690193,Validation
01/08/2020,0,40,271,21,63,0,3,20,27,16,17,20,6,19,18,12,23,24,15,18,2,4,0.18181818,0,0.007125379,0.005891314,0.009019441,0.009911587,0.012221253,0.001173462,0.014248171,0.929523294,0.00805903,0.002827068,Validation
01/09/2020,0,49,314,17,52,0,3,19,25,15,19,21,2,19,17,12,27,24,12,20,4,2,0,0,0.013623969,0.009509431,0.01081604,0.015189994,0.011441397,0.002458092,0.011752802,0.009236361,0.021733631,0.895307526,Validation
01/10/2020,0,29,221,14,52,2,2,16,21,13,17,19,9,22,23,9,25,28,11,18,3,3,0,0,0.012179983,0.008588561,0.011958802,0.017181608,0.864014032,0.002215096,0.019587006,0.045816567,0.010909413,0.00966743,Validation
01/11/2020,0,43,329,18,43,1,2,18,18,12,14,16,6,18,17,9,17,29,10,17,2,0,0.3,0.1,0.012179983,0.009108238,0.007644214,0.009938702,0.007859139,0.003619117,0.014374562,0.015240771,0.009081677,0.009541084,Validation
01/12/2020,0,26,205,16,44,0,3,18,21,12,14,18,7,18,16,10,20,30,10,21,1,1,0.07142857,0.07142857,0.014135199,0.010553038,0.004144863,0.93787003,0.009525321,0.000951326,0.009093917,0.011225063,0.004490418,0.006552182,Validation
01/01/2021,0,39,290,20,44,1,0,19,21,11,15,17,7,17,16,10,16,29,11,22,4,2,0,0,0.00913583,0.015608803,0.008382189,0.008384593,0.007998262,0.043181672,0.014467678,0.015579767,0.854406246,0.016202918,Validation
01/02/2021,0,20,174,14,46,0,0,17,19,10,13,14,5,15,17,9,16,22,9,17,4,1,0.125,0.125,0.006025279,0.006054591,0.008191156,0.010343123,0.010033839,0.001876436,0.916912406,0.02101867,0.010085599,0.005629069,Validation
01/03/2021,0,31,249,20,44,2,2,18,21,11,14,16,6,19,15,8,20,30,13,20,4,1,0.25,0.125,0.008884087,0.006721543,0.008328555,0.01173366,0.010983425,0.002030948,0.910454785,0.022313673,0.009780633,0.006177284,Validation
01/04/2021,0,20,148,16,47,3,2,17,22,11,14,17,8,22,13,9,21,33,9,19,4,1,0,0,0.012179983,0.007755759,0.012736699,0.014396095,0.017596751,0.002459916,0.704855896,0.206117023,0.01244943,0.005773766,Validation
01/05/2021,0,15,88,12,50,1,0,20,30,13,14,17,4,18,15,11,17,26,16,26,5,1,0,0.2,0.007981387,0.892793116,0.009965963,0.019640158,0.008433338,0.004598206,0.011588016,0.01491612,0.016425463,0.008575953,Validation
01/06/2021,0,18,83,18,56,0,1,18,38,12,16,15,4,17,15,11,17,19,13,26,0,0,0.11111111,0,0.007981387,0.29489095,0.611004714,0.015054655,0.009792653,0.0025497,0.012957169,0.019352572,0.013927225,0.010145909,Validation
01/07/2021,0,9,89,14,63,1,2,16,35,11,15,16,5,16,16,9,17,20,9,20,5,0,0.22222222,0.11111111,0.012179983,0.008608284,0.916989642,0.007496165,0.008475245,0.001378355,0.011570075,0.019490995,0.009381796,0.00862587,Validation
01/08/2021,0,8,51,15,65,0,5,17,36,10,17,15,2,15,14,9,17,17,14,26,2,3,0.08333333,0.08333333,0.006025279,0.00613979,0.00779152,0.01078191,0.009696578,0.001773713,0.919106327,0.021615009,0.008630298,0.005299612,Validation
01/09/2021,0,12,94,10,57,1,4,17,38,10,15,14,0,17,15,10,20,22,11,24,4,2,0.11111111,0.11111111,0.007646776,0.005504654,0.006480178,0.008570532,0.006781823,0.001506816,0.006810507,0.005039907,0.012961899,0.938696909,Validation
01/10/2021,0,11,110,17,63,0,4,17,42,12,14,19,7,19,17,10,10,21,14,23,5,0,0,0,0.014135199,0.00996147,0.007801309,0.010682713,0.008705677,0.004056085,0.016222248,0.015907262,0.010118216,0.010352504,Validation
01/11/2021,400,10,64,11,59,4,9,19,37,13,19,21,2,16,16,13,20,22,16,29,2,2,0.1,0.3,0.014135199,0.013131508,0.09247426,0.017685471,0.023154248,0.002536295,0.02470296,0.783967884,0.020125366,0.008037222,Validation
01/12/2021,3100,10,66,11,59,2,2,15,28,12,14,21,6,17,17,10,21,24,8,21,5,3,0,0.16666667,0.012179983,0.00709767,0.008145839,0.011349512,0.010854715,0.002087055,0.912424827,0.019268153,0.010596594,0.006404579,Test
01/01/2022,5800,30,190,28,63,2,2,17,46,18,24,27,2,15,21,15,27,24,12,25,3,0,0,0.09090909,0.006304892,0.005725046,0.006400621,0.013487773,0.920378873,0.001460694,0.012981716,0.019114159,0.006096402,0.008049825,Test
01/02/2022,1558,44,347,26,65,0,4,22,57,24,28,33,11,17,22,20,27,29,16,28,1,3,0.1,0,0.004589715,0.004343443,0.004742187,0.010124471,0.941997093,0.001083343,0.008891889,0.014627463,0.004365166,0.00523523,Test
01/03/2022,15000,103,731,36,61,3,3,25,64,41,36,39,7,19,25,30,31,29,30,38,8,3,0,0.1,0.008884087,0.006579603,0.008106679,0.011748622,0.011105458,0.001958125,0.912497093,0.022196104,0.009450157,0.006013184,Test
01/04/2022,70000,185,1470,44,69,5,4,34,65,47,50,45,24,26,33,45,39,36,37,50,8,4,0,0.08333333,0.013623969,0.009521873,0.899734397,0.008847763,0.009823386,0.001539866,0.01502152,0.027470113,0.010280915,0.009295519,Test
01/05/2022,136000,249,1794,45,70,6,8,39,70,47,56,48,29,27,36,48,46,37,46,48,6,5,0.36363636,0,0.014135199,0.013623969,0.00710543,0.007289308,0.006112265,0.003400496,0.01102157,0.014020898,0.916162405,0.013447757,Test
01/06/2022,185000,223,1511,56,67,9,10,45,77,59,63,52,37,29,38,60,58,39,58,60,9,4,0,0,0.014135199,0.009897314,0.003868561,0.941371662,0.009214107,0.00085201,0.009131088,0.010304264,0.004024396,0.005924125,Test
01/07/2022,320000,282,1963,58,78,11,11,52,68,63,76,57,48,38,43,72,58,41,67,65,11,6,0.125,0,0.012179983,0.008984074,0.006048673,0.005532659,0.005078306,0.002822429,0.009647085,0.011355324,0.933032422,0.011109271,Test
01/08/2022,486407,336,2266,53,80,11,12,53,71,68,76,59,44,37,41,75,60,35,71,65,9,9,0.125,0,0.012179983,0.007644725,0.004282439,0.005468436,0.005972106,0.928973029,0.009125285,0.008170596,0.012555379,0.006263522,Test
01/09/2022,431909,330,2323,54,75,12,12,56,72,70,78,59,49,35,50,81,70,36,76,71,12,6,0.25,0,0.007981387,0.912485093,0.008251794,0.018000158,0.007118926,0.002563042,0.009301173,0.012161603,0.01388812,0.007115291,Test
01/10/2022,484355,438,3154,56,77,18,17,55,65,73,85,60,51,39,49,81,65,43,71,72,9,8,0,0.16666667,0.008884087,0.006874691,0.007499113,0.01694528,0.905339427,0.001665865,0.014151325,0.024961056,0.0071901,0.008105413,Test
01/11/2022,596919,457,3385,53,81,25,18,61,67,79,89,58,55,46,48,88,76,48,75,76,16,6,0.3,0,0.014135199,0.01178408,0.004666048,0.930885565,0.010719197,0.001016249,0.009893548,0.012285172,0.005086161,0.007416558,Test
01/12/2022,707071,410,2877,50,83,19,20,61,59,74,91,60,69,50,57,82,72,57,70,73,18,9,0,0.2,0.014135199,0.011207845,0.011569842,0.00895489,0.008247229,0.004040153,0.01141204,0.011558286,0.687271683,0.235749721,Test
01/01/2023,871162,499,3687,63,86,14,13,65,83,95,100,77,62,50,60,90,80,53,97,85,17,10,0.22222222,0,0.012179983,0.009310807,0.007591811,0.005897928,0.00558404,0.003062641,0.009651919,0.011839654,0.920522545,0.01982298,Test
01/02/2023,932969,481,3576,64,88,15,17,70,78,90,93,68,80,58,59,90,76,53,91,80,12,9,0,0.18181818,0.014135199,0.012350444,0.011253678,0.011372049,0.010016269,0.004376824,0.013083132,0.012109492,0.398810589,0.513662344,Test
01/03/2023,895425,543,4058,65,84,18,12,72,73,86,95,63,66,55,50,84,81,50,81,83,18,8,0,0.14285714,0.007677216,0.00549976,0.006600529,0.008774445,0.006815452,0.001511684,0.006875399,0.005081425,0.012976025,0.938188064,Test
01/04/2023,984146,422,3135,58,90,15,19,77,73,82,95,68,55,55,57,93,86,49,100,96,17,5,0,0.22222222,0.014135199,0.013834637,0.013933125,0.015536946,0.013426345,0.004298836,0.016206591,0.01406491,0.133689191,0.758958566,Test
01/05/2023,916257,347,2609,56,82,21,18,75,70,86,90,67,72,52,61,94,72,41,89,92,10,8,0,0.125,0.014135199,0.010915507,0.069198828,0.028062287,0.808925337,0.002339029,0.019029945,0.028213442,0.010470754,0.012450279,Test
01/06/2023,975010,328,2339,63,86,20,16,73,69,85,92,68,55,45,57,91,85,39,89,92,12,6,0,0.11111111,0.012179983,0.007915578,0.008841146,0.014125175,0.011846079,0.002181626,0.904664327,0.021187513,0.010468105,0.00687997,Test
