Month,Tourist Arrival,CCI,PMI,REERI,Class
01/09/2021,0,93,40,127,Test
01/10/2021,0,92,52,128,Test
01/11/2021,400,87,47,129,Test
01/12/2021,3100,91,46,130,Test
01/01/2022,5800,87,54,126,Test
01/02/2022,1558,83,54,126,Test
01/03/2022,15000,79,52,127,Test
01/04/2022,70000,85,52,128,Test
01/05/2022,136000,78,55,130,Test
01/06/2022,185000,70,54,131,Test
01/07/2022,320000,72,51,133,Test
01/08/2022,486407,78,53,133,Test
01/09/2022,431909,79,53,136,Test
01/10/2022,484355,80,51,137,Test
01/11/2022,596919,77,47,135,Test
01/12/2022,707071,80,46,132,Test
01/01/2023,871162,85,47,131,Test
01/02/2023,932969,87,51,132,Test
01/03/2023,895425,82,48,132,Test
01/04/2023,984146,84,47,131,Test
01/05/2023,916257,79,45,131,Test
01/06/2023,975010,84,46,131,Test
