Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,CCI,PMI,REERI,Class
01/10/2011,518477,815,5687,4,79,12,18,47,15,63,57,53,33,69,56,38,25,57,19,57,0,9,80.8,48.7,107,Train
01/11/2011,611864,843,6274,0,72,7,13,53,14,62,54,47,26,70,48,37,23,54,19,58,0,12,83.7,50.5,108,Train
01/12/2011,593408,830,5566,0,79,13,18,48,13,59,54,47,32,79,57,33,25,54,13,52,3,8,89.9,49.3,108,Train
01/01/2012,630000,785,5785,0,78,18,7,52,20,64,58,60,36,55,56,40,18,44,22,67,0,11,95,48,108,Train
01/02/2012,681849,696,5082,5,76,15,10,51,18,63,57,51,36,75,49,43,25,57,20,43,0,10,95.3,46,106,Train
01/03/2012,561877,671,4936,0,73,13,13,48,19,57,55,49,27,73,48,34,19,62,21,43,3,11,96.2,50,107,Train
01/04/2012,620000,659,4412,0,62,19,14,50,20,56,46,56,33,61,43,34,25,55,13,42,0,11,96.4,49.5,107,Train
01/05/2012,615523,720,5157,2,62,8,19,48,22,59,50,52,25,64,36,38,28,46,14,40,0,9,99.3,48.3,108,Train
01/06/2012,417429,704,5905,0,69,14,15,50,22,56,48,49,21,60,36,37,16,53,24,41,6,10,93.2,46.6,110,Train
01/07/2012,466000,749,4972,4,70,14,14,52,25,62,54,56,29,63,40,44,30,56,15,46,7,14,92.3,43.6,109,Train
01/08/2012,525292,913,6305,0,72,9,18,53,23,57,58,53,41,70,43,38,31,57,19,50,10,11,94.3,47.9,108,Train
01/09/2012,460238,901,6326,0,66,12,16,49,23,60,52,55,36,72,43,39,20,47,14,44,2,9,98.3,49.2,107,Train
01/10/2012,495576,963,6721,3,68,15,13,50,24,64,54,55,26,77,55,41,20,53,24,47,5,12,102.6,48.7,107,Train
01/11/2012,655701,996,7415,0,69,13,16,49,21,67,51,51,33,78,47,40,27,62,16,43,7,14,102.7,50.5,107,Train
01/12/2012,614673,981,6578,0,69,9,13,46,19,61,54,45,35,79,51,37,27,53,14,40,9,15,92.9,49.3,107,Train
01/01/2013,651812,801,5531,4,72,6,16,51,30,69,63,65,42,76,57,43,32,58,27,55,9,14,93.8,50.1,115,Train
01/02/2013,570476,689,5082,5,73,11,14,48,30,64,56,54,34,67,48,42,28,53,27,46,0,16,97.6,51.2,116,Train
01/03/2013,587366,685,5038,0,69,11,18,48,30,62,55,50,59,86,48,41,20,68,21,43,6,17,98.6,50.8,117,Train
01/04/2013,613919,673,4503,0,66,11,11,51,32,60,53,48,50,83,42,37,17,59,19,48,6,13,96.4,51,116,Train
01/05/2013,558751,734,5263,9,65,9,14,51,33,57,47,48,25,76,39,37,21,52,22,47,5,13,104.5,51.6,116,Train
01/06/2013,567291,718,6026,6,59,16,14,50,32,63,54,50,41,78,42,43,31,54,25,53,4,15,104.1,52.5,117,Train
01/07/2013,658325,764,5074,9,68,16,21,56,36,63,58,55,35,82,41,42,30,53,21,56,12,11,105.1,48.5,118,Train
01/08/2013,676719,931,6434,6,69,16,17,51,34,62,53,52,49,80,43,42,31,53,25,43,7,14,102.1,49.4,118,Train
01/09/2013,614827,919,6456,5,64,13,11,48,32,67,51,48,32,80,48,46,26,45,26,46,4,11,97.5,51.5,117,Train
01/10/2013,628695,983,6858,6,67,17,19,49,32,72,60,53,45,79,55,48,28,48,19,46,5,13,93.2,51.5,116,Train
01/11/2013,713034,1017,7567,13,69,15,16,49,30,71,64,54,34,79,100,48,28,50,28,46,11,16,95.1,50.3,117,Train
01/12/2013,722349,1001,6713,8,72,18,22,45,27,67,55,42,38,79,58,43,28,55,22,51,9,17,102.5,51.8,117,Train
01/01/2014,776174,729,4984,3,75,14,19,50,41,77,61,62,49,74,59,48,24,50,31,53,10,15,101.2,52.1,123,Train
01/02/2014,842026,626,4623,7,72,19,20,49,39,70,61,57,45,84,53,50,39,53,25,53,6,8,101.6,51,116,Train
01/03/2014,709725,623,4582,7,68,11,17,51,39,62,60,48,46,87,48,42,32,77,23,48,7,14,100,51.3,116,Train
01/04/2014,74598,612,4095,11,70,14,20,49,41,68,55,43,45,91,41,46,30,60,33,47,7,16,104.1,53.1,115,Train
01/05/2014,674204,668,4787,15,69,13,21,46,41,65,54,42,33,75,38,45,29,65,30,46,9,17,101.9,52.5,115,Train
01/06/2014,539776,653,5481,16,61,13,16,49,44,68,52,45,40,77,38,41,23,61,24,48,4,16,102.5,56.3,115,Train
01/07/2014,564736,695,4615,15,69,11,13,50,51,68,58,46,39,85,43,46,27,56,29,47,10,20,101.8,51.7,115,Train
01/08/2014,618588,847,5852,21,75,10,10,52,49,70,56,48,41,87,41,46,37,55,28,47,12,21,102.5,50.3,116,Train
01/09/2014,590881,836,5872,19,70,18,17,51,46,81,60,44,41,77,42,44,42,50,36,52,6,14,104.6,51.7,117,Train
01/10/2014,559002,894,6238,13,66,10,22,48,44,77,54,48,44,82,42,48,34,57,24,53,9,14,106.9,51,118,Train
01/11/2014,608617,925,6883,11,73,15,22,51,41,78,54,46,43,82,46,54,30,75,36,47,12,19,108.8,52.1,120,Train
01/12/2014,657304,910,6106,23,75,13,27,47,39,75,61,40,49,84,59,48,41,78,32,49,8,22,113.6,51.5,121,Train
01/01/2015,700692,809,5856,29,72,12,18,60,54,81,64,61,45,85,58,57,34,67,41,59,9,21,118.1,52.7,118,Train
01/02/2015,756000,671,4955,23,78,13,15,48,52,67,54,45,50,73,48,45,37,57,30,54,13,18,115.4,51.7,120,Train
01/03/2015,617895,667,4911,22,75,11,21,56,53,75,59,49,59,94,48,50,39,83,34,55,10,15,113,50.7,122,Train
01/04/2015,69044,656,4390,32,68,15,17,58,50,67,60,51,49,86,47,44,39,77,35,53,10,23,115.9,53.5,121,Train
01/05/2015,576868,716,5130,36,65,10,20,55,52,70,57,50,48,78,47,48,34,68,33,48,13,16,110.7,54.8,120,Train
01/06/2015,529445,700,5875,35,64,8,15,58,57,79,59,48,41,75,43,53,34,70,33,53,10,29,116.1,52.2,121,Train
01/07/2015,593566,745,4947,30,74,16,17,66,63,72,61,54,51,90,52,54,39,76,31,56,12,30,113.1,52.6,122,Train
01/08/2015,664985,908,6273,41,76,18,15,59,59,71,57,53,41,87,49,54,43,79,39,55,11,22,111.9,51.3,124,Train
01/09/2015,626324,896,6293,35,68,18,15,46,56,78,56,51,47,79,51,55,49,70,32,54,8,20,107.2,49.5,125,Train
01/10/2015,649099,958,6686,38,75,15,16,54,58,80,60,52,41,77,51,55,48,77,38,54,13,17,110,50.1,124,Train
01/11/2015,732740,991,7377,35,69,18,22,59,54,75,62,51,55,79,58,52,51,69,35,58,11,22,111.3,49.4,125,Train
01/12/2015,760798,976,6544,37,71,14,20,57,47,78,64,52,58,82,60,52,55,67,34,52,10,22,112.6,51.3,126,Train
01/01/2016,815200,851,5733,32,80,14,15,61,56,83,66,67,69,85,66,58,47,69,51,64,12,23,112,51.5,126,Train
01/02/2016,843726,757,5525,34,75,11,11,57,52,74,62,54,61,81,55,50,46,61,37,57,14,27,111.7,50.3,125,Train
01/03/2016,830608,729,5367,39,73,19,18,58,54,72,65,52,62,92,53,51,51,75,45,61,17,23,111,50.7,123,Train
01/04/2016,799612,717,5446,39,71,15,18,60,54,68,57,49,62,81,47,51,44,67,41,57,14,22,109,52.3,121,Train
01/05/2016,767373,782,5860,49,79,11,21,57,58,74,60,51,54,78,51,54,55,65,46,77,12,29,114.7,52.7,123,Train
01/06/2016,710574,765,5903,39,70,12,20,55,58,87,67,51,63,72,44,57,52,68,49,51,12,24,113.5,52.6,123,Train
01/07/2016,856438,814,5744,45,77,12,25,59,60,76,69,53,60,86,48,56,58,76,42,62,10,25,110,51.9,124,Train
01/08/2016,909866,992,7329,44,69,15,16,57,58,80,65,54,61,80,48,52,59,65,53,54,10,23,109.8,52.2,123,Train
01/09/2016,823135,979,6876,43,71,14,17,59,60,83,68,52,69,78,52,60,57,59,49,58,3,17,111.2,52.9,124,Train
01/10/2016,822145,1047,7298,50,68,13,21,61,58,81,75,58,58,84,59,59,47,65,48,59,12,20,107.2,51.7,125,Train
01/11/2016,936779,1083,8063,51,74,16,17,62,56,81,66,54,61,79,58,57,48,70,43,60,10,21,113.8,54,127,Train
01/12/2016,897279,1066,8183,48,82,17,23,60,49,78,77,50,74,82,66,57,61,73,42,56,13,25,118.2,52.4,129,Train
01/01/2017,1007238,924,6113,67,80,17,17,66,68,82,79,75,74,78,70,69,56,76,69,76,14,21,118.5,51.9,129,Train
01/02/2017,1199421,1010,7457,67,86,16,30,66,68,85,78,65,78,98,63,66,64,78,58,66,14,18,116.3,54.2,127,Train
01/03/2017,1005821,1004,7382,67,75,15,21,68,69,78,77,64,70,92,55,65,66,79,48,68,13,28,116.9,54.6,127,Train
