Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/11/2010,428295,0.14285714,0.14285714,0.014135199,0.01276229,0.005138925,0.923372227,0.011789345,0.001191822,0.011977361,0.013602787,0.005496698,0.007725392,91.6,52.7,107,Train
01/12/2010,44957,0.22222222,0,0.007981387,0.904574012,0.008928676,0.02019896,0.00795206,0.00253928,0.009538188,0.012779487,0.016414364,0.007527535,94.5,53.2,108,Train
01/01/2011,506424,0.15384615,0,0.012179983,0.007037027,0.008083212,0.011748866,0.01039704,0.00211734,0.913454908,0.020074618,0.009623743,0.006182479,94.2,51.9,106,Train
01/02/2011,529315,0,0.18181818,0.013623969,0.009765585,0.543426617,0.011285682,0.010471373,0.002275107,0.012525469,0.016311068,0.020967973,0.362115086,97.5,51.9,106,Train
01/03/2011,475733,0.17647059,0,0.012179983,0.008385968,0.006437369,0.010081876,0.007333112,0.003529518,0.014042546,0.013813132,0.008297189,0.008693208,87.5,53.9,105,Train
01/04/2011,460000,0.15384615,0,0.012179983,0.006972405,0.004503049,0.003999573,0.003822154,0.002835523,0.006995359,0.008694313,0.948247623,0.009147482,89.8,53,104,Train
01/05/2011,480886,0.2,0,0.014135199,0.013080111,0.014950324,0.019299041,0.016213055,0.003410111,0.017703821,0.014276571,0.029000141,0.853747696,94.3,50.5,104,Train
01/06/2011,446966,0.14285714,0.07142857,0.012179983,0.009165424,0.007247924,0.010007091,0.008118403,0.00367565,0.014462671,0.015680814,0.009632639,0.009616182,91.5,49.5,104,Train
01/07/2011,460000,0.25,0,0.007981387,0.916589214,0.008030663,0.017331641,0.00673563,0.002530536,0.008544287,0.011553779,0.012417728,0.006795265,83.7,49,103,Train
01/08/2011,552234,0.125,0,0.008884087,0.006716767,0.010253657,0.014040587,0.582623636,0.001863559,0.022036729,0.338563034,0.009485539,0.005490568,75.8,49.4,104,Train
01/09/2011,286618,0,0,0.007981387,0.017852018,0.009598243,0.755520039,0.123447135,0.002255788,0.02573125,0.030783984,0.009019175,0.012525184,79.5,51.5,106,Train
01/10/2011,518477,0.1875,0,0.012179983,0.007741088,0.011417623,0.012178014,0.015512852,0.001565007,0.019044576,0.908113632,0.010753944,0.003847893,80.8,48.7,107,Train
01/11/2011,611864,0.22222222,0,0.014135199,0.00986735,0.905893067,0.009081083,0.009831122,0.001547833,0.013518828,0.021572466,0.010367738,0.009633475,83.7,50.5,108,Train
01/12/2011,593408,0.125,0,0.014135199,0.011767182,0.004787614,0.934193128,0.010562647,0.000947583,0.009717561,0.011002061,0.004720074,0.006493534,89.9,49.3,108,Train
01/01/2012,630000,0,0,0.012179983,0.007275312,0.00868353,0.012758984,0.011056596,0.002237931,0.902689053,0.0232605,0.011884786,0.007036342,95,48,108,Train
01/02/2012,681849,0.07142857,0.14285714,0.014135199,0.014166052,0.008203036,0.010503001,0.0113634,0.866321093,0.017790548,0.016068903,0.022802369,0.011675959,95.3,46,106,Train
01/03/2012,561877,0.06666667,0.13333333,0.008884087,0.006768375,0.002401448,0.963228699,0.00563316,0.000531369,0.005454097,0.006417038,0.00251188,0.003784263,96.2,50,107,Train
01/04/2012,620000,0.0625,0.0625,0.005161046,0.004499134,0.006438543,0.006679007,0.009542062,0.000853449,0.009640316,0.949440392,0.005817102,0.001928949,96.4,49.5,107,Train
01/05/2012,615523,0.1,0,0.007981387,0.094451511,0.01116259,0.01308996,0.008940294,0.005225391,0.014398866,0.018873767,0.803469188,0.017650775,99.3,48.3,108,Train
01/06/2012,417429,0,0,0.014135199,0.012152717,0.005272584,0.924182758,0.011571409,0.001089651,0.011973001,0.014237889,0.005215603,0.007337729,93.2,46.6,110,Train
01/07/2012,466000,0.1,0,0.012179983,0.007486745,0.937910784,0.005806066,0.006181433,0.001049496,0.00883145,0.013370389,0.006983634,0.006680024,92.3,43.6,109,Train
01/08/2012,525292,0,0.1,0.008884087,0.00666682,0.007711792,0.015005169,0.90777886,0.001667365,0.014942807,0.023784136,0.007180533,0.007965697,94.3,47.9,108,Train
01/09/2012,460238,0.15384615,0,0.008884087,0.006721543,0.008328555,0.01173366,0.010983425,0.002030948,0.910454785,0.022313673,0.009780633,0.006177284,98.3,49.2,107,Train
01/10/2012,495576,0.16666667,0,0.012179983,0.007266444,0.009725399,0.012172807,0.014671191,0.001400704,0.016850747,0.91625291,0.009023591,0.003378849,102.6,48.7,107,Train
01/11/2012,655701,0.14285714,0.14285714,0.006025279,0.006031795,0.007551682,0.009967137,0.010180651,0.001004165,0.010691155,0.939443286,0.006705009,0.002349036,102.7,50.5,107,Train
01/12/2012,614673,0,0.11111111,0.012179983,0.009216604,0.00576348,0.005520416,0.00509033,0.002763327,0.008838262,0.011632515,0.934280356,0.010945532,92.9,49.3,107,Train
01/01/2013,651812,0.22222222,0,0.014135199,0.011690164,0.00844836,0.007429006,0.00681899,0.003556996,0.012249023,0.015383524,0.91121352,0.014768586,93.8,50.1,115,Train
01/02/2013,570476,0.22222222,0.11111111,0.007981387,0.902746858,0.010319685,0.01917087,0.008045834,0.002636984,0.010336614,0.014192773,0.014362661,0.007827527,97.6,51.2,116,Train
01/03/2013,587366,0,0,0.014135199,0.012873971,0.005137991,0.923739781,0.011080623,0.001144269,0.011392573,0.013523537,0.006003493,0.007852144,98.6,50.8,117,Train
01/04/2013,613919,0.08333333,0,0.006123951,0.005412332,0.006048116,0.012140534,0.926692766,0.001370976,0.011201067,0.018732135,0.005658292,0.006619832,96.4,51,116,Train
01/05/2013,558751,0.07142857,0.14285714,0.014135199,0.011370866,0.010216121,0.013298895,0.010328914,0.004881556,0.016299632,0.015053547,0.015242377,0.081820203,104.5,51.6,116,Train
01/06/2013,567291,0.1,0,0.006668981,0.005593389,0.009010936,0.009180787,0.011085153,0.001118719,0.011908698,0.934223773,0.008511939,0.002697625,104.1,52.5,117,Train
01/07/2013,658325,0.22222222,0,0.013623969,0.009644944,0.010875511,0.015980729,0.011568241,0.00247327,0.01185218,0.009335278,0.021770295,0.893864496,105.1,48.5,118,Train
01/08/2013,676719,0.15384615,0,0.007981387,0.020814669,0.089603204,0.782790147,0.018289537,0.002210901,0.018550092,0.024241831,0.014915633,0.015742654,102.1,49.4,118,Train
01/09/2013,614827,0,0.125,0.008884087,0.006689444,0.007865359,0.010369442,0.008237618,0.001818497,0.008427855,0.006381462,0.015667277,0.925196306,97.5,51.5,117,Train
01/10/2013,628695,0,0,0.014135199,0.012093959,0.009630239,0.013429145,0.010580383,0.004567598,0.019515146,0.020738497,0.012022462,0.012494727,93.2,51.5,116,Train
01/11/2013,713034,0,0,0.014135199,0.014135199,0.005442315,0.919400174,0.011969238,0.001178502,0.012912167,0.013959515,0.005942543,0.007951698,95.1,50.3,117,Train
01/12/2013,722349,0.16666667,0.16666667,0.006354919,0.004001407,0.005337352,0.007435426,0.006478603,0.001257646,0.947785625,0.011560383,0.006013731,0.003774907,102.5,51.8,117,Train
01/01/2014,776174,0.08333333,0.08333333,0.00913583,0.01573653,0.106579385,0.015550015,0.016369859,0.005573083,0.033644798,0.107154992,0.016088555,0.01594761,101.2,52.1,123,Train
01/02/2014,842026,0.2,0,0.00773546,0.004929618,0.006528685,0.008687366,0.008481034,0.001510418,0.926338248,0.023778405,0.00784245,0.004168317,101.6,51,116,Train
01/03/2014,709725,0.11111111,0,0.00893407,0.005849044,0.006968367,0.011401317,0.009223614,0.001751326,0.923463529,0.017949946,0.009084029,0.005374759,100,51.3,116,Train
01/04/2014,74598,0,0,0.014135199,0.011527387,0.0085788,0.008011992,0.008057701,0.003512014,0.011933691,0.015942625,0.909811307,0.014793369,104.1,53.1,115,Train
01/05/2014,674204,0,0,0.014135199,0.010541186,0.008250382,0.011232531,0.008769951,0.004287781,0.01610198,0.017905321,0.010602537,0.010731328,101.9,52.5,115,Train
01/06/2014,539776,0.33333333,0,0.012179983,0.008151329,0.009482121,0.012765939,0.017106369,0.002267652,0.898866574,0.021005867,0.010434235,0.007703604,102.5,56.3,115,Train
01/07/2014,564736,0,0.27272727,0.007981387,0.096878534,0.013856474,0.470834779,0.023443616,0.005138832,0.232196993,0.028450469,0.015144101,0.015857112,101.8,51.7,115,Train
01/08/2014,618588,0,0,0.013623969,0.009544529,0.011693035,0.021985747,0.872288446,0.002260128,0.019228828,0.031665204,0.009998842,0.011086109,102.5,50.3,116,Train
01/09/2014,590881,0,0,0.012179983,0.007405539,0.930784743,0.006459968,0.006888285,0.001149632,0.009924938,0.016028257,0.007678383,0.007272648,104.6,51.7,117,Train
