Month,Tourist Arrival,Number of Posts,Number of Comments,Class
01/07/2022,320000,282,1963,Test
01/08/2022,486407,336,2266,Test
01/09/2022,431909,330,2323,Test
01/10/2022,484355,438,3154,Test
01/11/2022,596919,457,3385,Test
01/12/2022,707071,410,2877,Test
01/01/2023,871162,499,3687,Test
01/02/2023,932969,481,3576,Test
01/03/2023,895425,543,4058,Test
01/04/2023,984146,422,3135,Test
01/05/2023,916257,347,2609,Test
01/06/2023,975010,328,2339,Test
